City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Saryozek,KZ,2020-01-03 05:13:26,44.36,77.98,29.25,70,100,2.08
70,Katherine,AU,2020-01-03 05:13:26,-14.47,132.26,98.6,35,75,5.82
71,Huarmey,PE,2020-01-03 05:13:26,-10.07,-78.15,68.09,81,81,2.68
72,Chokurdakh,RU,2020-01-03 05:12:21,70.62,147.9,-21.59,93,24,1.59
73,Port Elizabeth,US,2020-01-03 05:12:19,39.31,-74.98,53.01,61,40,3.36
74,Mataura,NZ,2020-01-03 05:09:21,-46.19,168.86,52.0,88,92,11.99
75,Baglung,NP,2020-01-03 05:13:27,28.27,83.59,32.83,91,100,3.29
76,Hithadhoo,MV,2020-01-03 05:12:53,-0.6,73.08,83.68,69,53,7.9
77,Vaini,IN,2020-01-03 05:12:22,15.34,74.49,69.8,73,0,6.93
78,Butaritari,KI,2020-01-03 05:12:24,3.07,172.79,80.37,85,100,11.63
79,Cape Town,ZA,2020-01-03 05:12:22,-33.93,18.42,70.0,88,20,13.87
80,Chuy,UY,2020-01-03 05:12:28,-33.69,-53.46,65.57,86,2,7.38
81,Provideniya,RU,2020-01-03 05:08:53,64.42,-173.23,-11.47,72,0,11.21
82,Avarua,CK,2020-01-03 05:09:08,-21.21,-159.78,78.8,74,86,3.36
83,Nyimba,ZM,2020-01-03 05:13:28,-14.56,30.81,71.65,92,100,0.76
84,Cherskiy,RU,2020-01-03 05:12:59,68.75,161.3,0.12,69,46,12.17
85,Dikson,RU,2020-01-03 05:12:51,73.51,80.55,3.42,91,97,21.3
86,Asyut,EG,2020-01-03 05:13:28,27.18,31.19,42.8,70,0,9.17
87,Great Yarmouth,GB,2020-01-03 05:13:28,52.61,1.73,50.0,93,100,6.93
88,Hun,BE,2020-01-03 05:13:29,50.34,4.87,48.2,87,75,16.11
89,Cody,US,2020-01-03 05:13:29,44.53,-109.06,32.0,58,1,9.89
90,Cabo San Lucas,MX,2020-01-03 05:08:59,22.89,-109.91,66.0,77,5,11.41
91,Ust-Kishert,RU,2020-01-03 05:13:29,57.36,57.24,3.36,95,87,16.13
92,Sitka,US,2020-01-03 05:08:22,37.17,-99.65,33.01,87,93,9.17
93,Ginda,IN,2020-01-03 05:13:29,30.69,78.49,53.42,42,60,3.09
94,Namatanai,PG,2020-01-03 05:13:30,-3.66,152.44,85.28,69,64,5.23
95,Visnes,NO,2020-01-03 05:13:30,59.36,5.22,44.6,75,99,23.04
96,Berlevag,NO,2020-01-03 05:09:45,70.86,29.09,33.8,80,99,20.8
97,Opuwo,NA,2020-01-03 05:13:30,-18.06,13.84,70.88,73,100,11.63
98,Ust-Nera,RU,2020-01-03 05:11:37,64.57,143.24,-6.38,98,100,5.86
99,Sehithwa,BW,2020-01-03 05:13:30,-20.47,22.7,80.13,60,83,4.03
100,Kruisfontein,ZA,2020-01-03 05:12:50,-34.0,24.73,71.42,74,5,5.03
101,Castro,CL,2020-01-03 05:08:38,-42.48,-73.76,55.4,87,1,4.7
102,Batticaloa,LK,2020-01-03 05:13:31,7.71,81.69,86.4,63,91,7.81
103,Yellowknife,CA,2020-01-03 05:12:36,62.45,-114.38,6.8,84,90,4.7
104,Albury,AU,2020-01-03 05:13:31,-36.08,146.92,97.0,13,90,5.82
105,Zyryanka,RU,2020-01-03 05:13:31,65.73,150.89,-11.87,86,33,5.17
106,Luderitz,NA,2020-01-03 05:13:32,-26.65,15.16,63.3,80,0,28.27
107,Padang,ID,2020-01-03 05:09:51,-0.92,100.36,82.04,66,87,2.13
108,Matay,EG,2020-01-03 05:13:32,28.42,30.79,44.19,79,9,6.35
109,East London,ZA,2020-01-03 05:07:49,-33.02,27.91,71.6,100,90,10.29
110,Mana,NG,2020-01-03 05:13:32,13.03,5.27,49.46,29,0,14.34
111,Canakkale,TR,2020-01-03 05:13:32,40.15,26.41,41.0,85,40,9.17
112,Olinda,AU,2020-01-03 05:12:59,-37.84,145.39,99.0,23,33,11.41
113,Ruidoso,US,2020-01-03 05:09:38,33.33,-105.67,37.4,92,90,6.93
114,Mahebourg,MU,2020-01-03 05:13:33,-20.41,57.7,78.8,94,75,9.17
115,Adre,TD,2020-01-03 05:13:33,13.47,22.2,54.16,35,20,18.32
116,Kodoli,IN,2020-01-03 05:13:33,16.88,74.2,79.5,35,0,2.26
117,Carnarvon,ZA,2020-01-03 05:08:30,-30.97,22.13,71.1,50,0,9.42
118,Salamanca,MX,2020-01-03 05:13:33,20.57,-101.19,55.99,66,75,2.08
119,Ergani,TR,2020-01-03 05:13:34,38.27,39.76,35.6,93,90,4.7
120,Flinders,AU,2020-01-03 05:13:34,-34.58,150.85,93.99,54,21,16.11
121,Saint-Pierre,FR,2020-01-03 05:13:34,48.95,4.24,46.4,87,90,16.11
122,Inhambane,MZ,2020-01-03 05:13:34,-23.87,35.38,77.0,88,20,7.54
123,Staryy Nadym,RU,2020-01-03 05:13:35,65.61,72.68,-9.85,98,3,9.86
124,Port Alfred,ZA,2020-01-03 05:12:23,-33.59,26.89,70.0,95,70,13.42
125,Longyearbyen,NO,2020-01-03 05:12:34,78.22,15.63,8.6,65,75,21.92
126,Atar,MR,2020-01-03 05:13:35,20.52,-13.05,55.42,15,100,17.58
127,Muros,ES,2020-01-03 05:13:35,42.77,-9.06,57.99,100,90,5.82
128,Guerrero Negro,MX,2020-01-03 05:13:36,27.97,-114.04,59.81,47,1,7.96
129,Kikwit,CD,2020-01-03 05:13:36,-5.04,18.82,71.38,91,100,1.19
130,Uruzgan,AF,2020-01-03 05:13:36,32.93,66.63,30.34,92,96,6.91
131,Malchevskaya,RU,2020-01-03 05:13:36,49.06,40.36,29.93,90,99,7.72
132,Atambua,ID,2020-01-03 05:13:36,-9.11,124.89,82.78,70,94,6.17
133,Sabha,LY,2020-01-03 05:13:36,27.03,14.43,44.08,82,7,9.31
134,College,US,2020-01-03 05:12:16,64.86,-147.8,-2.0,76,90,3.71
135,La Ronge,CA,2020-01-03 05:12:44,55.1,-105.3,28.4,86,90,5.82
136,Blackwater,GB,2020-01-03 05:13:37,51.33,-0.78,51.8,93,100,13.87
137,Inuvik,CA,2020-01-03 05:13:37,68.36,-133.71,-13.0,69,90,6.93
138,Vardo,US,2020-01-03 05:08:35,39.62,-77.74,52.0,46,90,5.82
139,Bhadrachalam,IN,2020-01-03 05:13:38,17.67,80.89,83.37,61,10,4.25
140,Esso,RU,2020-01-03 05:12:39,55.93,158.7,16.07,96,99,3.04
141,Ati,TD,2020-01-03 05:13:38,13.21,18.34,56.14,33,3,13.24
142,Bintulu,MY,2020-01-03 05:13:38,3.17,113.03,86.0,79,75,5.82
143,Kyren,RU,2020-01-03 05:13:05,51.68,102.13,17.85,67,22,5.53
144,Bredasdorp,ZA,2020-01-03 05:12:50,-34.53,20.04,61.0,87,9,1.12
145,Namibe,AO,2020-01-03 05:13:38,-15.19,12.15,73.76,75,100,4.43
146,Nigde,TR,2020-01-03 05:13:39,37.97,34.68,28.51,77,99,6.55
147,Firminy,FR,2020-01-03 05:13:39,45.39,4.29,42.01,92,97,1.12
148,Jawhar,IN,2020-01-03 05:13:39,19.91,73.23,78.94,41,30,6.73
149,Tuktoyaktuk,CA,2020-01-03 05:12:40,69.44,-133.03,-16.6,75,20,16.11
150,Fairbanks,US,2020-01-03 05:09:42,64.84,-147.72,-2.0,76,90,4.12
151,Arys,KZ,2020-01-03 05:13:40,42.43,68.8,33.8,76,90,3.8
152,Iqaluit,CA,2020-01-03 05:07:22,63.75,-68.52,8.6,84,90,2.24
153,Kaabong,UG,2020-01-03 05:13:40,3.51,34.14,75.51,46,26,16.26
154,Dunedin,NZ,2020-01-03 05:13:40,-45.87,170.5,53.26,77,21,33.82
155,Mount Gambier,AU,2020-01-03 05:13:40,-37.83,140.78,98.6,9,46,16.11
156,Magdagachi,RU,2020-01-03 05:13:40,53.45,125.8,-2.24,92,66,1.12
157,San Patricio,PY,2020-01-03 05:13:41,-26.98,-56.83,71.22,67,5,7.2
158,Naron,ES,2020-01-03 05:13:41,43.52,-8.15,55.0,87,75,11.41
159,Olenegorsk,RU,2020-01-03 05:13:41,68.14,33.28,34.84,96,100,12.64
160,Tuatapere,NZ,2020-01-03 05:11:05,-46.13,167.69,53.01,87,60,15.01
161,Nemuro,JP,2020-01-03 05:13:41,43.32,145.57,30.2,50,40,4.7
162,Georgetown,GY,2020-01-03 05:12:41,6.8,-58.16,73.4,88,20,2.24
163,Narsaq,GL,2020-01-03 05:13:41,60.91,-46.05,24.8,49,100,3.36
164,Zvishavane,ZW,2020-01-03 05:13:42,-20.32,30.05,80.26,46,54,5.88
165,Sur,OM,2020-01-03 05:12:33,22.57,59.53,75.49,42,2,6.42
166,Port-Cartier,CA,2020-01-03 05:12:23,50.03,-66.88,1.4,77,20,2.24
167,Sidi Ali,DZ,2020-01-03 05:13:42,36.1,0.42,43.56,73,0,0.81
168,Yeppoon,AU,2020-01-03 05:12:32,-23.13,150.74,89.6,35,0,12.75
169,Potsdam,DE,2020-01-03 05:11:31,52.4,13.06,39.0,88,20,8.05
170,Samana,EC,2020-01-03 05:13:42,0.12,-76.97,71.13,98,100,3.96
